# y,eta,chord,ellipse,schrenk,cl
4.000000,1.000000,0.833333,0.000000,0.416667,0.500000
3.995996,0.998999,0.834168,0.071194,0.452681,0.542674
3.991992,0.997998,0.835002,0.100658,0.467830,0.560274
3.987988,0.996997,0.835836,0.123250,0.479543,0.573729
3.983984,0.995996,0.836670,0.142281,0.489476,0.585028
3.979980,0.994995,0.837504,0.159035,0.498270,0.594946
3.975976,0.993994,0.838338,0.174171,0.506254,0.603878
3.971972,0.992993,0.839173,0.188079,0.513626,0.612062
3.967968,0.991992,0.840007,0.201014,0.520510,0.619650
3.963964,0.990991,0.840841,0.213154,0.526997,0.626750
3.959960,0.989990,0.841675,0.224627,0.533151,0.633441
3.955956,0.988989,0.842509,0.235532,0.539021,0.639780
3.951952,0.987988,0.843343,0.245943,0.544643,0.645814
3.947948,0.986987,0.844178,0.255921,0.550049,0.651580
3.943944,0.985986,0.845012,0.265515,0.555263,0.657107
3.939940,0.984985,0.845846,0.274765,0.560305,0.662420
3.935936,0.983984,0.846680,0.283705,0.565192,0.667539
3.931932,0.982983,0.847514,0.292362,0.569938,0.672482
3.927928,0.981982,0.848348,0.300762,0.574555,0.677263
3.923924,0.980981,0.849183,0.308926,0.579054,0.681896
3.919920,0.979980,0.850017,0.316871,0.583444,0.686391
3.915916,0.978979,0.850851,0.324614,0.587733,0.690759
3.911912,0.977978,0.851685,0.332169,0.591927,0.695007
3.907908,0.976977,0.852519,0.339549,0.596034,0.699144
3.903904,0.975976,0.853353,0.346764,0.600059,0.703177
3.899900,0.974975,0.854188,0.353825,0.604006,0.707112
3.895896,0.973974,0.855022,0.360740,0.607881,0.710954
3.891892,0.972973,0.855856,0.367519,0.611687,0.714708
3.887888,0.971972,0.856690,0.374168,0.615429,0.718380
3.883884,0.970971,0.857524,0.380694,0.619109,0.721973
3.879880,0.969970,0.858358,0.387104,0.622731,0.725491
3.875876,0.968969,0.859193,0.393403,0.626298,0.728938
3.871872,0.967968,0.860027,0.399596,0.629811,0.732316
3.867868,0.966967,0.860861,0.405689,0.633275,0.735630
3.863864,0.965966,0.861695,0.411685,0.636690,0.738881
3.859860,0.964965,0.862529,0.417589,0.640059,0.742072
3.855856,0.963964,0.863363,0.423404,0.643384,0.745206
3.851852,0.962963,0.864198,0.429135,0.646666,0.748285
3.847848,0.961962,0.865032,0.434785,0.649908,0.751312
3.843844,0.960961,0.865866,0.440356,0.653111,0.754287
3.839840,0.959960,0.866700,0.445852,0.656276,0.757213
3.835836,0.958959,0.867534,0.451276,0.659405,0.760091
3.831832,0.957958,0.868368,0.456629,0.662499,0.762924
3.827828,0.956957,0.869203,0.461915,0.665559,0.765712
3.823824,0.955956,0.870037,0.467136,0.668586,0.768458
